t,x,y,crs,NO2
2024-04-30,113.77659013525215,-7.020542032458331,b'',1.9044608e-05
2024-04-30,113.77659013525215,-7.055264254680547,b'',4.8166885e-06
2024-05-01,113.77659013525215,-7.020542032458331,b'',6.205473e-06
2024-05-01,113.77659013525215,-7.055264254680547,b'',1.1078956e-05
2024-05-02,113.77659013525215,-7.020542032458331,b'',
2024-05-02,113.77659013525215,-7.055264254680547,b'',
2024-05-03,113.77659013525215,-7.020542032458331,b'',3.6832685e-06
2024-05-03,113.77659013525215,-7.055264254680547,b'',5.0825274e-06
2024-05-04,113.77659013525215,-7.020542032458331,b'',7.0632536e-06
2024-05-04,113.77659013525215,-7.055264254680547,b'',1.9073559e-05
2024-05-05,113.77659013525215,-7.020542032458331,b'',
2024-05-05,113.77659013525215,-7.055264254680547,b'',
2024-05-06,113.77659013525215,-7.020542032458331,b'',-2.4118838e-06
2024-05-06,113.77659013525215,-7.055264254680547,b'',-2.4118838e-06
2024-05-07,113.77659013525215,-7.020542032458331,b'',2.2600532e-05
2024-05-07,113.77659013525215,-7.055264254680547,b'',1.1595828e-05
2024-05-08,113.77659013525215,-7.020542032458331,b'',6.27134e-07
2024-05-08,113.77659013525215,-7.055264254680547,b'',1.5607513e-05
2024-05-09,113.77659013525215,-7.020542032458331,b'',
2024-05-09,113.77659013525215,-7.055264254680547,b'',
2024-05-10,113.77659013525215,-7.020542032458331,b'',
2024-05-10,113.77659013525215,-7.055264254680547,b'',
2024-05-11,113.77659013525215,-7.020542032458331,b'',
2024-05-11,113.77659013525215,-7.055264254680547,b'',4.4890016e-06
2024-05-12,113.77659013525215,-7.020542032458331,b'',
2024-05-12,113.77659013525215,-7.055264254680547,b'',
2024-05-13,113.77659013525215,-7.020542032458331,b'',
2024-05-13,113.77659013525215,-7.055264254680547,b'',
2024-05-14,113.77659013525215,-7.020542032458331,b'',1.7483228e-05
2024-05-14,113.77659013525215,-7.055264254680547,b'',1.7483228e-05
2024-05-15,113.77659013525215,-7.020542032458331,b'',1.9092884e-05
2024-05-15,113.77659013525215,-7.055264254680547,b'',
2024-05-16,113.77659013525215,-7.020542032458331,b'',-3.633252e-06
2024-05-16,113.77659013525215,-7.055264254680547,b'',1.5359094e-05
2024-05-17,113.77659013525215,-7.020542032458331,b'',
2024-05-17,113.77659013525215,-7.055264254680547,b'',9.155716e-06
2024-05-18,113.77659013525215,-7.020542032458331,b'',
2024-05-18,113.77659013525215,-7.055264254680547,b'',1.0777126e-05
2024-05-19,113.77659013525215,-7.020542032458331,b'',1.0820335e-05
2024-05-19,113.77659013525215,-7.055264254680547,b'',2.3890748e-06
2024-05-20,113.77659013525215,-7.020542032458331,b'',-1.2824347e-06
2024-05-20,113.77659013525215,-7.055264254680547,b'',1.33619715e-05
2024-05-21,113.77659013525215,-7.020542032458331,b'',8.450087e-06
2024-05-21,113.77659013525215,-7.055264254680547,b'',1.2342694e-05
2024-05-22,113.77659013525215,-7.020542032458331,b'',1.3028103e-05
2024-05-22,113.77659013525215,-7.055264254680547,b'',1.3028103e-05
2024-05-23,113.77659013525215,-7.020542032458331,b'',8.586638e-06
2024-05-23,113.77659013525215,-7.055264254680547,b'',8.586638e-06
2024-05-24,113.77659013525215,-7.020542032458331,b'',1.178022e-05
2024-05-24,113.77659013525215,-7.055264254680547,b'',1.178022e-05
2024-05-25,113.77659013525215,-7.020542032458331,b'',1.4700288e-05
2024-05-25,113.77659013525215,-7.055264254680547,b'',1.4700288e-05
2024-05-26,113.77659013525215,-7.020542032458331,b'',1.0435227e-05
2024-05-26,113.77659013525215,-7.055264254680547,b'',1.0435227e-05
2024-05-27,113.77659013525215,-7.020542032458331,b'',1.664009e-05
2024-05-27,113.77659013525215,-7.055264254680547,b'',1.664009e-05
2024-05-28,113.77659013525215,-7.020542032458331,b'',9.4531415e-06
2024-05-28,113.77659013525215,-7.055264254680547,b'',2.8973014e-05
2024-05-29,113.77659013525215,-7.020542032458331,b'',-2.6769806e-06
2024-05-29,113.77659013525215,-7.055264254680547,b'',-2.6769806e-06
2024-05-30,113.77659013525215,-7.020542032458331,b'',
2024-05-30,113.77659013525215,-7.055264254680547,b'',5.3311114e-06
2024-05-31,113.77659013525215,-7.020542032458331,b'',4.3802665e-06
2024-05-31,113.77659013525215,-7.055264254680547,b'',1.5571559e-06
2024-06-01,113.77659013525215,-7.020542032458331,b'',1.7531675e-05
2024-06-01,113.77659013525215,-7.055264254680547,b'',1.7531675e-05
2024-06-02,113.77659013525215,-7.020542032458331,b'',4.313429e-06
2024-06-02,113.77659013525215,-7.055264254680547,b'',1.6226706e-05
2024-06-03,113.77659013525215,-7.020542032458331,b'',1.4943402e-05
2024-06-03,113.77659013525215,-7.055264254680547,b'',2.054368e-05
2024-06-04,113.77659013525215,-7.020542032458331,b'',-2.4272176e-06
2024-06-04,113.77659013525215,-7.055264254680547,b'',2.2067481e-05
2024-06-05,113.77659013525215,-7.020542032458331,b'',1.4422166e-05
2024-06-05,113.77659013525215,-7.055264254680547,b'',7.958337e-06
2024-06-06,113.77659013525215,-7.020542032458331,b'',9.326939e-07
2024-06-06,113.77659013525215,-7.055264254680547,b'',
2024-06-07,113.77659013525215,-7.020542032458331,b'',2.0604348e-05
2024-06-07,113.77659013525215,-7.055264254680547,b'',2.0604348e-05
2024-06-08,113.77659013525215,-7.020542032458331,b'',
2024-06-08,113.77659013525215,-7.055264254680547,b'',
2024-06-09,113.77659013525215,-7.020542032458331,b'',
2024-06-09,113.77659013525215,-7.055264254680547,b'',
2024-06-10,113.77659013525215,-7.020542032458331,b'',2.0935693e-06
2024-06-10,113.77659013525215,-7.055264254680547,b'',1.6873344e-05
2024-06-11,113.77659013525215,-7.020542032458331,b'',
2024-06-11,113.77659013525215,-7.055264254680547,b'',
2024-06-12,113.77659013525215,-7.020542032458331,b'',-7.816901e-06
2024-06-12,113.77659013525215,-7.055264254680547,b'',
2024-06-13,113.77659013525215,-7.020542032458331,b'',
2024-06-13,113.77659013525215,-7.055264254680547,b'',
2024-06-14,113.77659013525215,-7.020542032458331,b'',
2024-06-14,113.77659013525215,-7.055264254680547,b'',
2024-06-15,113.77659013525215,-7.020542032458331,b'',
2024-06-15,113.77659013525215,-7.055264254680547,b'',
2024-06-16,113.77659013525215,-7.020542032458331,b'',1.5569256e-05
2024-06-16,113.77659013525215,-7.055264254680547,b'',-6.7510837e-06
2024-06-17,113.77659013525215,-7.020542032458331,b'',
2024-06-17,113.77659013525215,-7.055264254680547,b'',
2024-06-18,113.77659013525215,-7.020542032458331,b'',
2024-06-18,113.77659013525215,-7.055264254680547,b'',2.2315997e-05
2024-06-19,113.77659013525215,-7.020542032458331,b'',2.1806556e-05
2024-06-19,113.77659013525215,-7.055264254680547,b'',2.1806556e-05
2024-06-20,113.77659013525215,-7.020542032458331,b'',7.620615e-06
2024-06-20,113.77659013525215,-7.055264254680547,b'',7.620615e-06
2024-06-21,113.77659013525215,-7.020542032458331,b'',1.733797e-05
2024-06-21,113.77659013525215,-7.055264254680547,b'',1.107295e-05
2024-06-22,113.77659013525215,-7.020542032458331,b'',1.3202252e-05
2024-06-22,113.77659013525215,-7.055264254680547,b'',1.51402355e-05
2024-06-23,113.77659013525215,-7.020542032458331,b'',
2024-06-23,113.77659013525215,-7.055264254680547,b'',
2024-06-24,113.77659013525215,-7.020542032458331,b'',
2024-06-24,113.77659013525215,-7.055264254680547,b'',
2024-06-25,113.77659013525215,-7.020542032458331,b'',1.1818986e-05
2024-06-25,113.77659013525215,-7.055264254680547,b'',1.1818986e-05
2024-06-26,113.77659013525215,-7.020542032458331,b'',
2024-06-26,113.77659013525215,-7.055264254680547,b'',
2024-06-27,113.77659013525215,-7.020542032458331,b'',-3.93371e-06
2024-06-27,113.77659013525215,-7.055264254680547,b'',-3.93371e-06
2024-06-28,113.77659013525215,-7.020542032458331,b'',1.3696488e-05
2024-06-28,113.77659013525215,-7.055264254680547,b'',1.3696488e-05
2024-06-29,113.77659013525215,-7.020542032458331,b'',1.0741339e-05
2024-06-29,113.77659013525215,-7.055264254680547,b'',5.9104527e-06
2024-06-30,113.77659013525215,-7.020542032458331,b'',
2024-06-30,113.77659013525215,-7.055264254680547,b'',
2024-07-01,113.77659013525215,-7.020542032458331,b'',2.8435497e-05
2024-07-01,113.77659013525215,-7.055264254680547,b'',4.270996e-06
2024-07-02,113.77659013525215,-7.020542032458331,b'',
2024-07-02,113.77659013525215,-7.055264254680547,b'',
2024-07-03,113.77659013525215,-7.020542032458331,b'',
2024-07-03,113.77659013525215,-7.055264254680547,b'',
2024-07-04,113.77659013525215,-7.020542032458331,b'',
2024-07-04,113.77659013525215,-7.055264254680547,b'',
2024-07-05,113.77659013525215,-7.020542032458331,b'',3.0096878e-06
2024-07-05,113.77659013525215,-7.055264254680547,b'',6.7020746e-06
2024-07-06,113.77659013525215,-7.020542032458331,b'',
2024-07-06,113.77659013525215,-7.055264254680547,b'',
2024-07-07,113.77659013525215,-7.020542032458331,b'',2.3917476e-06
2024-07-07,113.77659013525215,-7.055264254680547,b'',2.3917476e-06
2024-07-08,113.77659013525215,-7.020542032458331,b'',3.4572858e-07
2024-07-08,113.77659013525215,-7.055264254680547,b'',1.886161e-05
2024-07-09,113.77659013525215,-7.020542032458331,b'',2.2389282e-05
2024-07-09,113.77659013525215,-7.055264254680547,b'',1.5234581e-05
2024-07-10,113.77659013525215,-7.020542032458331,b'',
2024-07-10,113.77659013525215,-7.055264254680547,b'',
2024-07-11,113.77659013525215,-7.020542032458331,b'',1.9984598e-05
2024-07-11,113.77659013525215,-7.055264254680547,b'',9.629732e-06
2024-07-12,113.77659013525215,-7.020542032458331,b'',1.9084928e-05
2024-07-12,113.77659013525215,-7.055264254680547,b'',2.5593876e-05
2024-07-13,113.77659013525215,-7.020542032458331,b'',3.0430296e-05
2024-07-13,113.77659013525215,-7.055264254680547,b'',-1.5518951e-06
2024-07-14,113.77659013525215,-7.020542032458331,b'',1.2899094e-05
2024-07-14,113.77659013525215,-7.055264254680547,b'',1.2835254e-06
2024-07-15,113.77659013525215,-7.020542032458331,b'',7.2637736e-06
2024-07-15,113.77659013525215,-7.055264254680547,b'',7.2637736e-06
2024-07-16,113.77659013525215,-7.020542032458331,b'',1.3337979e-05
2024-07-16,113.77659013525215,-7.055264254680547,b'',6.698272e-06
2024-07-17,113.77659013525215,-7.020542032458331,b'',1.9072635e-05
2024-07-17,113.77659013525215,-7.055264254680547,b'',2.0425889e-05
2024-07-18,113.77659013525215,-7.020542032458331,b'',4.3328072e-07
2024-07-18,113.77659013525215,-7.055264254680547,b'',4.3328072e-07
2024-07-19,113.77659013525215,-7.020542032458331,b'',7.395529e-06
2024-07-19,113.77659013525215,-7.055264254680547,b'',1.2804413e-05
2024-07-20,113.77659013525215,-7.020542032458331,b'',2.510188e-05
2024-07-20,113.77659013525215,-7.055264254680547,b'',4.863147e-06
2024-07-21,113.77659013525215,-7.020542032458331,b'',1.6874837e-06
2024-07-21,113.77659013525215,-7.055264254680547,b'',1.9208102e-05
2024-07-22,113.77659013525215,-7.020542032458331,b'',1.6213683e-06
2024-07-22,113.77659013525215,-7.055264254680547,b'',1.5172458e-05
2024-07-23,113.77659013525215,-7.020542032458331,b'',1.0819023e-05
2024-07-23,113.77659013525215,-7.055264254680547,b'',1.9550753e-05
2024-07-24,113.77659013525215,-7.020542032458331,b'',1.902128e-05
2024-07-24,113.77659013525215,-7.055264254680547,b'',1.902128e-05
2024-07-25,113.77659013525215,-7.020542032458331,b'',5.7106704e-06
2024-07-25,113.77659013525215,-7.055264254680547,b'',2.4107105e-05
2024-07-26,113.77659013525215,-7.020542032458331,b'',2.1803886e-05
2024-07-26,113.77659013525215,-7.055264254680547,b'',1.7705304e-05
2024-07-27,113.77659013525215,-7.020542032458331,b'',1.7171787e-05
2024-07-27,113.77659013525215,-7.055264254680547,b'',1.4651641e-05
2024-07-28,113.77659013525215,-7.020542032458331,b'',7.823664e-07
2024-07-28,113.77659013525215,-7.055264254680547,b'',7.823664e-07
2024-07-29,113.77659013525215,-7.020542032458331,b'',3.0063004e-06
2024-07-29,113.77659013525215,-7.055264254680547,b'',3.0063004e-06
2024-07-30,113.77659013525215,-7.020542032458331,b'',1.1660866e-05
2024-07-30,113.77659013525215,-7.055264254680547,b'',1.5111303e-05
2024-07-31,113.77659013525215,-7.020542032458331,b'',-2.080379e-05
2024-07-31,113.77659013525215,-7.055264254680547,b'',7.1979634e-06
2024-08-01,113.77659013525215,-7.020542032458331,b'',
2024-08-01,113.77659013525215,-7.055264254680547,b'',
2024-08-02,113.77659013525215,-7.020542032458331,b'',1.0006681e-05
2024-08-02,113.77659013525215,-7.055264254680547,b'',1.06634e-05
2024-08-03,113.77659013525215,-7.020542032458331,b'',5.8944674e-06
2024-08-03,113.77659013525215,-7.055264254680547,b'',8.568147e-06
2024-08-04,113.77659013525215,-7.020542032458331,b'',2.124521e-05
2024-08-04,113.77659013525215,-7.055264254680547,b'',2.124521e-05
2024-08-05,113.77659013525215,-7.020542032458331,b'',1.0531793e-05
2024-08-05,113.77659013525215,-7.055264254680547,b'',1.0531793e-05
2024-08-06,113.77659013525215,-7.020542032458331,b'',1.5261689e-05
2024-08-06,113.77659013525215,-7.055264254680547,b'',1.5893485e-05
2024-08-07,113.77659013525215,-7.020542032458331,b'',7.2085995e-06
2024-08-07,113.77659013525215,-7.055264254680547,b'',7.2085995e-06
2024-08-08,113.77659013525215,-7.020542032458331,b'',1.7152743e-05
2024-08-08,113.77659013525215,-7.055264254680547,b'',1.76603e-05
2024-08-09,113.77659013525215,-7.020542032458331,b'',1.3005597e-05
2024-08-09,113.77659013525215,-7.055264254680547,b'',1.3005597e-05
2024-08-10,113.77659013525215,-7.020542032458331,b'',-5.562248e-06
2024-08-10,113.77659013525215,-7.055264254680547,b'',1.4295328e-05
2024-08-11,113.77659013525215,-7.020542032458331,b'',2.3315731e-06
2024-08-11,113.77659013525215,-7.055264254680547,b'',2.3315731e-06
2024-08-13,113.77659013525215,-7.020542032458331,b'',1.42960525e-05
2024-08-13,113.77659013525215,-7.055264254680547,b'',1.679466e-05
2024-08-14,113.77659013525215,-7.020542032458331,b'',3.08215e-06
2024-08-14,113.77659013525215,-7.055264254680547,b'',1.2689512e-05
2024-08-15,113.77659013525215,-7.020542032458331,b'',2.50941e-05
2024-08-15,113.77659013525215,-7.055264254680547,b'',2.50941e-05
2024-08-16,113.77659013525215,-7.020542032458331,b'',8.219406e-06
2024-08-16,113.77659013525215,-7.055264254680547,b'',8.219406e-06
2024-08-17,113.77659013525215,-7.020542032458331,b'',1.0974361e-05
2024-08-17,113.77659013525215,-7.055264254680547,b'',9.86226e-06
2024-08-18,113.77659013525215,-7.020542032458331,b'',1.9740297e-05
2024-08-18,113.77659013525215,-7.055264254680547,b'',1.1593751e-05
2024-08-19,113.77659013525215,-7.020542032458331,b'',1.07487285e-05
2024-08-19,113.77659013525215,-7.055264254680547,b'',1.6701366e-05
2024-08-20,113.77659013525215,-7.020542032458331,b'',2.1392902e-05
2024-08-20,113.77659013525215,-7.055264254680547,b'',2.2757922e-05
2024-08-21,113.77659013525215,-7.020542032458331,b'',3.4703196e-05
2024-08-21,113.77659013525215,-7.055264254680547,b'',1.1724576e-05
2024-08-22,113.77659013525215,-7.020542032458331,b'',1.3090686e-05
2024-08-22,113.77659013525215,-7.055264254680547,b'',2.2905688e-05
2024-08-23,113.77659013525215,-7.020542032458331,b'',9.230523e-06
2024-08-23,113.77659013525215,-7.055264254680547,b'',9.230523e-06
2024-08-24,113.77659013525215,-7.020542032458331,b'',1.3230841e-05
